taxonname,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Vulpes,Vulpes,vulpes,Vulpes,FALSE,1,821970,FALSE,NA,2
Lepus timidus,Lepus timidus,lepus timidus,Lepus timidus,FALSE,1,167565,FALSE,NA,1
Grus americana,Grus americana,grus americana,Grus americana,FALSE,1,414356,FALSE,NA,1
Oryctolagus cuniculus,Oryctolagus cuniculus,oryctolagus cuniculus,Oryctolagus cuniculus,FALSE,1,864596,FALSE,NA,1
Lepus europaeus,Lepus europaeus,lepus europaeus,Lepus europaeus,FALSE,1,864607,FALSE,NA,1
Perdix perdix,Perdix perdix,perdix perdix,Perdix perdix,FALSE,1,102712,FALSE,NA,1
Lagopus lagopus scoticus,Lagopus lagopus scotica,lagopus lagopus scoticus,Lagopus lagopus scotica,FALSE,1,1004888,TRUE,infraspecific,1
Tetrao tetrix,Lyrurus tetrix,tetrao tetrix,Lyrurus tetrix,FALSE,1,725154,TRUE,NA,1
Mustela,Mustela,mustela,Mustela,FALSE,1,923108,FALSE,NA,4
Sciurus vulgaris,Sciurus vulgaris,sciurus vulgaris,Sciurus vulgaris,FALSE,1,286193,FALSE,NA,1
Dipodomys spectabilis,Dipodomys spectabilis,dipodomys spectabilis,Dipodomys spectabilis,FALSE,1,748116,FALSE,NA,1
Dipodomys ordii,Dipodomys ordii,dipodomys ordii,Dipodomys ordii,FALSE,1,917328,FALSE,NA,1
Dipodomys merriami,Dipodomys merriami,dipodomys merriami,Dipodomys merriami,FALSE,1,37456,FALSE,NA,1
Chaetodipus penicillatus,Chaetodipus penicillatus,chaetodipus penicillatus,Chaetodipus penicillatus,FALSE,1,1004164,FALSE,NA,1
Perognathus flavus,Perognathus flavus,perognathus flavus,Perognathus flavus,FALSE,1,1024543,FALSE,NA,1
Peromyscus eremicus,Peromyscus eremicus,peromyscus eremicus,Peromyscus eremicus,FALSE,1,576102,FALSE,NA,1
Peromyscus maniculatus,Peromyscus maniculatus,peromyscus maniculatus,Peromyscus maniculatus,FALSE,1,377525,FALSE,NA,1
