species,name_cleaned,search_string,unique_name,approximate_match,score,ott_id,is_synonym,flags,number_matches
Pittosporopsis kerrii,Pittosporopsis kerrii,pittosporopsis kerrii,Pittosporopsis kerrii,FALSE,1,5738905,FALSE,,1
Quercus suber,Quercus suber,quercus suber,Quercus suber,FALSE,1,272709,FALSE,,1
Elateriospermum tapos,Elateriospermum tapos,elateriospermum tapos,Elateriospermum tapos,FALSE,1,370208,FALSE,,1
Isoberlinia angolensis,Isoberlinia angolensis,isoberlinia angolensis,Isoberlinia angolensis,FALSE,1,422115,FALSE,,1
Julbernardia globiflora,Julbernardia globiflora,julbernardia globiflora,Julbernardia globiflora,FALSE,1,1040268,FALSE,,1
Nothofagus spp.,Nothofagus spp.,nothofagus,Nothofagus,FALSE,1,272015,FALSE,,1
Pseudotsuga menziesii,Pseudotsuga menziesii,pseudotsuga menziesii,Pseudotsuga menziesii,FALSE,1,1075713,FALSE,,1
Fraxinus americana,Fraxinus americana,fraxinus americana,Fraxinus americana,FALSE,1,671807,FALSE,,1
Alnus spp.,Alnus spp.,alnus,Alnus,FALSE,1,791135,FALSE,,1
Corylus americana,Corylus americana,corylus americana,Corylus americana,FALSE,1,731679,FALSE,,1
Cornus florida,Cornus florida,cornus florida,Cornus florida,FALSE,1,148264,FALSE,,1
Quercus marilandica,Quercus marilandica,quercus marilandica,Quercus marilandica,FALSE,1,137331,FALSE,,1
Symphoricarpos orbiculatus,Symphoricarpos orbiculatus,symphoricarpos orbiculatus,Symphoricarpos orbiculatus,FALSE,1,2128,FALSE,,1
Abies alba,Abies alba,abies alba,Abies alba,FALSE,1,887363,FALSE,,1
Astragalus microcymbus,Astragalus microcymbus,astragalus microcymbus,Astragalus microcymbus,FALSE,1,3924586,FALSE,,1
Juniperus occidentalis,Juniperus occidentalis,juniperus occidentalis,Juniperus occidentalis,FALSE,1,335572,FALSE,,1
Castanopsis fargesii,Castanopsis fargesii,castanopsis fargesii,Castanopsis fargesii,FALSE,1,651163,FALSE,,1
Alniphyllum fortunei,Alniphyllum fortunei,alniphyllum fortunei,Alniphyllum fortunei,FALSE,1,1009427,FALSE,,1
Castanopsis eyrei,Castanopsis eyrei,castanopsis eyrei,Castanopsis eyrei,FALSE,1,149019,FALSE,,1
Corylopsis glandulifera,Corylopsis glandulifera,corylopsis glandulifera,Corylopsis glandulifera,FALSE,1,771640,FALSE,,1
Daphniphyllum pentandrum,Daphniphyllum oldhamii,daphniphyllum pentandrum,Daphniphyllum oldhamii,FALSE,1,514564,TRUE,,1
Distylium myricoides,Distylium myricoides,distylium myricoides,Distylium myricoides,FALSE,1,467495,FALSE,,1
Fraxinus insularis,Fraxinus insularis,fraxinus insularis,Fraxinus insularis,FALSE,1,303495,FALSE,,1
